# checkSRC_URI result
# root : /data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/
# date : 2026-05-22 11:10:31
# STATUS	FILE	URI
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/daqapp/daqapp-test.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/daqapp/daqapp.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/diaginfoapp/diaginfoapp_0.1.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/ecallapp/ecallapp.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/highspeedfeedapp/highspeedfeedapp.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/mapdownloadapp/mapdownloadapp_0.0.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/oemcallapp/oemcallapp_0.0.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/otaapp/otaapp.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/remotecontrolapp/remotecontrolapp_0.0.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/remotelocationapp/remotelocationapp_0.0.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/remotemanageapp/remotemanageapp_0.0.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-app/wifiapp/wifiapp_0.1.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-connectivity/lge-qcril-nr/lge-qcril-nr-headers_git.bb	file://${@d.getVar('SRC_DIR',
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-connectivity/lge-qcril-nr/lge-qcril-nr_git.bb	file://${@d.getVar('SRC_DIR',
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-connectivity/librft/librft.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-connectivity/mosquitto/mosquitto_1.6.9.bb	git://vgit.lge.com:29420/oss/github.com/eclipse/${BPN}.git;tag=v1.6.9;protocol=ssh
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-connectivity/wifimanager/wifiman_1.0.bb	file://${PN}/
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-connectivity/wifimanager/wpa-supplicant-qcacld_git.bbappend	file://0001-defconfig-qcacld-update-for-CVE-2024-5290.patch;patchdir=${WORKDIR}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-connectivity/wifimanager/wpa-supplicant-qcacld_git.bbappend	file://0001-honda-WLAN-Add-ACS-feature-Driver-Command-to-wpa_sup.patch;patchdir=${WORKDIR}/external/wpa_supplicant_8
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-connectivity/wifimanager/wpa-supplicant-qcacld_git.bbappend	file://0001-honda_WLAN_CVE-2024-5290.patch;patchdir=${WORKDIR}/external/wpa_supplicant_8
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-connectivity/wifimanager/wpa-supplicant-qcacld_git.bbappend	file://0001-honda_WLAN_Remove-TEST.patch;patchdir=${WORKDIR}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-core/busybox/busybox_1.36.1.bb	https://busybox.net/downloads/busybox-${PV}.tar.bz2;name=tarball
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-core/dbus/dbus-glib_0.110.bb	https://dbus.freedesktop.org/releases/dbus-glib/dbus-glib-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-core/dbus/dbus.inc	https://dbus.freedesktop.org/releases/dbus/dbus-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-core/dropbear/dropbear_2022.83.bb	http://matt.ucc.asn.au/dropbear/releases/dropbear-${PV}.tar.bz2
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-core/libxml/libxml2_2.11.7.bb	http://www.w3.org/XML/Test/xmlts20130923.tar;subdir=${BP};name=testtar
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-core/zlib/zlib_1.3.1.bb	https://zlib.net/${BP}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-devtools/perl/liberror-perl_0.17029.bb	http://cpan.metacpan.org/authors/id/S/SH/SHLOMIF/Error-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-devtools/perl/libtest-needs-perl_0.002010.bb	https://cpan.metacpan.org/authors/id/H/HA/${CPAN_AUTHOR}/${CPAN_NAME}-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-devtools/perl/libxml-parser-perl_2.46.bb	http://www.cpan.org/modules/by-module/XML/XML-Parser-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-devtools/perl/libxml-perl_0.08.bb	http://www.cpan.org/modules/by-module/XML/${BPN}-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-devtools/perl/libxml-simple-perl_2.25.bb	http://www.cpan.org/modules/by-module/XML/XML-Simple-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-devtools/perl/perl_5.38.2.bb	https://www.cpan.org/src/5.0/perl-${PV}.tar.gz;name=perl
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-devtools/python/python3-dbus_1.2.16.bb	http://dbus.freedesktop.org/releases/dbus-python/dbus-python-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-devtools/python/python3-pycairo_1.19.0.bb	https://github.com/pygobject/pycairo/releases/download/v${PV}/pycairo-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-devtools/python/python3-pygobject_3.34.0.bb	http://ftp.gnome.org/pub/GNOME/sources/${SRCNAME}/${@gnome_verdir("${PV}")}/${SRCNAME}-${PV}.tar.xz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-devtools/python/python3-scons_3.1.2.bb	https://raw.githubusercontent.com/SCons/scons/${PV}/LICENSE;downloadfilename=LICENSE-python3-scons-${PV};name=license
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-devtools/python/python3_3.8.18.bb	http://www.python.org/ftp/python/${PV}/Python-${PV}.tar.xz
