# checkSRC_URI result
# root : /tmp/tmp.YqNuUyibAX
# date : 2026-05-22 13:14:08
# STATUS	FILE	URI
SKIP	/tmp/tmp.YqNuUyibAX/meta/recipes-test/demo/demo_1.0.bb	http://snapshot.debian.org/archive/debian//20150831T093342Z/pool/main/n/${BPN}/
SKIP	/tmp/tmp.YqNuUyibAX/meta/recipes-test/demo/demo_1.0.bb	http://snapshot.debian.org/archive/debian/20050312T000000Z/pool/main/n/${BPN}/
SKIP	/tmp/tmp.YqNuUyibAX/meta/recipes-test/demo/demo_1.0.bb	http://snapshot.debian.org/archive/debian/20110427T035506Z/pool/main/v/${BPN}/
SKIP	/tmp/tmp.YqNuUyibAX/meta/recipes-test/demo/demo_1.0.bb	http://snapshot.debian.org/archive/debian/20141023T043132Z/pool/main/l/lockdev/${BPN}
SKIP	/tmp/tmp.YqNuUyibAX/meta/recipes-test/demo/demo_1.0.bb	http://snapshot.debian.org/archive/debian/20160728T043443Z/pool/main/a/${BPN}/
SKIP	/tmp/tmp.YqNuUyibAX/meta/recipes-test/demo/demo_1.0.bb	http://snapshot.debian.org/archive/debian/20160728T043443Z/pool/main/b/${BPN}/
SKIP	/tmp/tmp.YqNuUyibAX/meta/recipes-test/demo/demo_1.0.bb	http://snapshot.debian.org/archive/debian/20160728T043443Z/pool/main/d/docbook-xml/${BPN}
SKIP	/tmp/tmp.YqNuUyibAX/meta/recipes-test/demo/demo_1.0.bb	http://snapshot.debian.org/archive/debian/20180825T090248Z/pool/main/a/${BPN}/
SKIP	/tmp/tmp.YqNuUyibAX/meta/recipes-test/demo/demo_1.0.bb	http://snapshot.debian.org/archive/debian/20180828T214102Z/pool/main/m/mklibs/${BPN}
SKIP	/tmp/tmp.YqNuUyibAX/meta/recipes-test/demo/demo_1.0.bb	http://snapshot.debian.org/archive/debian/20181022T085404Z/pool/main/n/netcat-openbsd/${BPN}
SKIP	/tmp/tmp.YqNuUyibAX/meta/recipes-test/demo/demo_1.0.bb	http://snapshot.debian.org/archive/debian/20191212T145612Z/pool/main/d/${BPN}/
